Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 1 (19 July 2026),19 July 2026,9,SG250057895,1011000002,22.83,55.56
Day 1 (19 July 2026),19 July 2026,15,SG250067865,1011000004,9.77,22.22
Day 1 (19 July 2026),19 July 2026,8,SG250108730,1011000005,27.78,61.11
Day 1 (19 July 2026),19 July 2026,17,SG250139526,1011000006,0.25,11.11
Day 1 (19 July 2026),19 July 2026,1,SG250140510,1011000007,52.08,100.0
Day 1 (19 July 2026),19 July 2026,16,SG250013993,1021000010,7.49,16.67
Day 1 (19 July 2026),19 July 2026,11,SG250028052,1021000011,19.42,44.44
Day 1 (19 July 2026),19 July 2026,13,SG250028804,1021000012,14.86,33.33
Day 1 (19 July 2026),19 July 2026,6,SG250052358,1021000014,35.41,72.22
Day 1 (19 July 2026),19 July 2026,4,SG250058526,1021000015,35.75,83.33
Day 1 (19 July 2026),19 July 2026,10,SG250093807,1021000019,21.48,50.0
Day 1 (19 July 2026),19 July 2026,3,SG250032680,1031000022,38.12,88.89
Day 1 (19 July 2026),19 July 2026,18,SG250111559,1031000025,0.25,5.56
Day 1 (19 July 2026),19 July 2026,12,SG250141425,1031000028,15.04,38.89
Day 1 (19 July 2026),19 July 2026,7,SG250014911,1041000031,27.82,66.67
Day 1 (19 July 2026),19 July 2026,2,SG250094037,1041000037,45.44,94.44
Day 1 (19 July 2026),19 July 2026,14,SG250086113,1051000041,12.53,27.78
Day 1 (19 July 2026),19 July 2026,5,SG250109131,1051000042,35.75,77.78
