Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 1 (19 July 2026),19 July 2026,25,SG250001277,1010200001,58.07,87.03
Day 1 (19 July 2026),19 July 2026,23,SG250002009,1010200002,58.71,88.11
Day 1 (19 July 2026),19 July 2026,170,SG250004529,1010200004,11.17,8.65
Day 1 (19 July 2026),19 July 2026,12,SG250006934,1010200008,63.72,94.05
Day 1 (19 July 2026),19 July 2026,27,SG250007418,1010200009,56.74,85.95
Day 1 (19 July 2026),19 July 2026,98,SG250015429,1010200014,30.43,47.57
Day 1 (19 July 2026),19 July 2026,77,SG250016204,1010200017,36.43,58.92
Day 1 (19 July 2026),19 July 2026,22,SG250018560,1010200021,58.73,88.65
Day 1 (19 July 2026),19 July 2026,95,SG250019533,1010200022,31.49,49.19
Day 1 (19 July 2026),19 July 2026,143,SG250020223,1010200023,18.5,23.24
Day 1 (19 July 2026),19 July 2026,148,SG250023623,1010200025,17.68,20.54
Day 1 (19 July 2026),19 July 2026,177,SG250027693,1010200029,9.14,4.86
Day 1 (19 July 2026),19 July 2026,78,SG250028896,1010200031,36.13,58.38
Day 1 (19 July 2026),19 July 2026,81,SG250029232,1010200034,35.44,56.76
Day 1 (19 July 2026),19 July 2026,66,SG250033932,1010200039,40.15,64.86
Day 1 (19 July 2026),19 July 2026,15,SG250034108,1010200040,62.08,92.43
Day 1 (19 July 2026),19 July 2026,37,SG250034950,1010200042,52.74,80.54
Day 1 (19 July 2026),19 July 2026,89,SG250039392,1010200043,32.77,52.43
Day 1 (19 July 2026),19 July 2026,40,SG250040335,1010200044,52.11,78.92
Day 1 (19 July 2026),19 July 2026,9,SG250046011,1010200045,64.42,95.68
Day 1 (19 July 2026),19 July 2026,88,SG250046038,1010200046,32.78,52.97
Day 1 (19 July 2026),19 July 2026,83,SG250051769,1010200051,35.11,55.68
Day 1 (19 July 2026),19 July 2026,58,SG250052055,1010200052,43.39,69.19
Day 1 (19 July 2026),19 July 2026,157,SG250055383,1010200053,14.79,15.68
Day 1 (19 July 2026),19 July 2026,113,SG250057631,1010200054,26.83,39.46
Day 1 (19 July 2026),19 July 2026,162,SG250058693,1010200055,13.87,12.97
Day 1 (19 July 2026),19 July 2026,1,SG250063880,1010200062,85.67,100.0
Day 1 (19 July 2026),19 July 2026,171,SG250065922,1010200064,10.89,8.11
Day 1 (19 July 2026),19 July 2026,150,SG250076273,1010200073,17.41,19.46
Day 1 (19 July 2026),19 July 2026,7,SG250076936,1010200074,65.38,96.76
Day 1 (19 July 2026),19 July 2026,110,SG250077358,1010200075,28.08,41.08
Day 1 (19 July 2026),19 July 2026,146,SG250086020,1010200082,18.2,21.62
Day 1 (19 July 2026),19 July 2026,168,SG250092703,1010200087,12.54,9.73
Day 1 (19 July 2026),19 July 2026,130,SG250112157,1010200098,22.51,30.27
Day 1 (19 July 2026),19 July 2026,141,SG250113365,1010200099,19.02,24.32
Day 1 (19 July 2026),19 July 2026,44,SG250120166,1010200102,49.46,76.76
Day 1 (19 July 2026),19 July 2026,115,SG250125081,1010200105,26.49,38.38
Day 1 (19 July 2026),19 July 2026,86,SG250136113,1010200118,33.8,54.05
Day 1 (19 July 2026),19 July 2026,43,SG250137993,1010200123,50.72,77.3
Day 1 (19 July 2026),19 July 2026,60,SG250142525,1010200128,42.76,68.11
Day 1 (19 July 2026),19 July 2026,80,SG250148600,1010200135,35.75,57.3
Day 1 (19 July 2026),19 July 2026,116,SG250150603,1010200137,26.41,37.84
Day 1 (19 July 2026),19 July 2026,5,SG250000799,1020200138,69.74,97.84
Day 1 (19 July 2026),19 July 2026,30,SG250001711,1020200141,55.73,84.32
Day 1 (19 July 2026),19 July 2026,140,SG250001905,1020200142,19.19,24.86
Day 1 (19 July 2026),19 July 2026,121,SG250002058,1020200143,25.78,35.14
Day 1 (19 July 2026),19 July 2026,49,SG250003672,1020200145,47.11,74.05
Day 1 (19 July 2026),19 July 2026,99,SG250005047,1020200146,30.15,47.03
Day 1 (19 July 2026),19 July 2026,156,SG250005365,1020200147,14.83,16.22
Day 1 (19 July 2026),19 July 2026,59,SG250006566,1020200149,43.11,68.65
Day 1 (19 July 2026),19 July 2026,10,SG250007101,1020200151,64.41,95.14
Day 1 (19 July 2026),19 July 2026,48,SG250009780,1020200154,47.44,74.59
Day 1 (19 July 2026),19 July 2026,127,SG250014593,1020200156,22.83,31.89
Day 1 (19 July 2026),19 July 2026,119,SG250015909,1020200157,26.12,36.22
Day 1 (19 July 2026),19 July 2026,97,SG250015932,1020200158,31.1,48.11
Day 1 (19 July 2026),19 July 2026,82,SG250016769,1020200160,35.43,56.22
Day 1 (19 July 2026),19 July 2026,56,SG250020254,1020200164,44.14,70.27
Day 1 (19 July 2026),19 July 2026,145,SG250023975,1020200166,18.46,22.16
Day 1 (19 July 2026),19 July 2026,93,SG250024176,1020200167,31.81,50.27
Day 1 (19 July 2026),19 July 2026,50,SG250024466,1020200168,46.44,73.51
Day 1 (19 July 2026),19 July 2026,84,SG250025210,1020200169,35.11,55.14
Day 1 (19 July 2026),19 July 2026,20,SG250029439,1020200172,59.75,89.73
Day 1 (19 July 2026),19 July 2026,172,SG250032386,1020200181,10.89,7.57
Day 1 (19 July 2026),19 July 2026,134,SG250035862,1020200186,22.19,28.11
Day 1 (19 July 2026),19 July 2026,4,SG250039452,1020200189,70.05,98.38
Day 1 (19 July 2026),19 July 2026,155,SG250040399,1020200191,15.13,16.76
Day 1 (19 July 2026),19 July 2026,182,SG250042314,1020200192,4.22,2.16
Day 1 (19 July 2026),19 July 2026,163,SG250042724,1020200193,13.55,12.43
Day 1 (19 July 2026),19 July 2026,180,SG250044010,1020200194,5.34,3.24
Day 1 (19 July 2026),19 July 2026,103,SG250050405,1020200196,28.74,44.86
Day 1 (19 July 2026),19 July 2026,8,SG250051177,1020200197,64.73,96.22
Day 1 (19 July 2026),19 July 2026,38,SG250052787,1020200200,52.72,80.0
Day 1 (19 July 2026),19 July 2026,175,SG250056282,1020200204,10.17,5.95
Day 1 (19 July 2026),19 July 2026,151,SG250057903,1020200208,16.21,18.92
Day 1 (19 July 2026),19 July 2026,158,SG250061045,1020200210,14.51,15.14
Day 1 (19 July 2026),19 July 2026,174,SG250061267,1020200211,10.53,6.49
Day 1 (19 July 2026),19 July 2026,154,SG250063702,1020200214,15.21,17.3
Day 1 (19 July 2026),19 July 2026,69,SG250072739,1020200220,39.15,63.24
Day 1 (19 July 2026),19 July 2026,153,SG250072789,1020200221,15.85,17.84
Day 1 (19 July 2026),19 July 2026,11,SG250081196,1020200226,64.08,94.59
Day 1 (19 July 2026),19 July 2026,36,SG250092487,1020200240,53.08,81.08
Day 1 (19 July 2026),19 July 2026,91,SG250092488,1020200241,32.75,51.35
Day 1 (19 July 2026),19 July 2026,137,SG250098024,1020200243,21.48,26.49
Day 1 (19 July 2026),19 July 2026,184,SG250098620,1020200244,-6.4,1.08
Day 1 (19 July 2026),19 July 2026,24,SG250103310,1020200246,58.1,87.57
Day 1 (19 July 2026),19 July 2026,85,SG250106668,1020200248,33.82,54.59
Day 1 (19 July 2026),19 July 2026,3,SG250108091,1020200249,72.05,98.92
Day 1 (19 July 2026),19 July 2026,21,SG250111516,1020200252,59.75,89.19
Day 1 (19 July 2026),19 July 2026,179,SG250124530,1020200263,6.14,3.78
Day 1 (19 July 2026),19 July 2026,96,SG250124785,1020200265,31.15,48.65
Day 1 (19 July 2026),19 July 2026,74,SG250129062,1020200268,37.78,60.54
Day 1 (19 July 2026),19 July 2026,102,SG250134865,1020200271,28.82,45.41
Day 1 (19 July 2026),19 July 2026,132,SG250135079,1020200272,22.48,29.19
