Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,152,SG250021600,1010600001,19.07,25.98
Day 2 (20 June 2026),20 June 2026,32,SG250022616,1010600002,61.07,84.8
Day 2 (20 June 2026),20 June 2026,42,SG250023581,1010600003,57.05,79.9
Day 2 (20 June 2026),20 June 2026,149,SG250024162,1010600004,19.82,27.45
Day 2 (20 June 2026),20 June 2026,9,SG250032663,1010600005,73.38,96.08
Day 2 (20 June 2026),20 June 2026,93,SG250045110,1010600006,39.08,54.9
Day 2 (20 June 2026),20 June 2026,125,SG250052704,1010600009,28.81,39.22
Day 2 (20 June 2026),20 June 2026,4,SG250057305,1010600011,76.05,98.53
Day 2 (20 June 2026),20 June 2026,36,SG250067181,1010600012,59.76,82.84
Day 2 (20 June 2026),20 June 2026,174,SG250068929,1010600013,8.87,15.2
Day 2 (20 June 2026),20 June 2026,106,SG250069423,1010600014,34.46,48.53
Day 2 (20 June 2026),20 June 2026,15,SG250086441,1010600016,70.71,93.14
Day 2 (20 June 2026),20 June 2026,60,SG250090260,1010600017,50.1,71.08
Day 2 (20 June 2026),20 June 2026,46,SG250100413,1010600018,54.41,77.94
Day 2 (20 June 2026),20 June 2026,171,SG250122239,1010600023,9.56,16.67
Day 2 (20 June 2026),20 June 2026,151,SG250128101,1010600025,19.49,26.47
Day 2 (20 June 2026),20 June 2026,3,SG250132328,1010600026,77.05,99.02
Day 2 (20 June 2026),20 June 2026,82,SG250139732,1010600028,41.78,60.29
Day 2 (20 June 2026),20 June 2026,16,SG250140543,1010600029,70.06,92.65
Day 2 (20 June 2026),20 June 2026,139,SG250012352,1020600031,24.13,32.35
Day 2 (20 June 2026),20 June 2026,117,SG250020971,1020600032,31.47,43.14
Day 2 (20 June 2026),20 June 2026,94,SG250060087,1020600045,39.08,54.41
Day 2 (20 June 2026),20 June 2026,84,SG250077082,1020600048,40.45,59.31
Day 2 (20 June 2026),20 June 2026,88,SG250077533,1020600050,40.11,57.35
Day 2 (20 June 2026),20 June 2026,134,SG250079018,1020600051,25.48,34.8
Day 2 (20 June 2026),20 June 2026,153,SG250080696,1020600055,18.87,25.49
Day 2 (20 June 2026),20 June 2026,31,SG250089208,1020600056,61.08,85.29
Day 2 (20 June 2026),20 June 2026,138,SG250104761,1020600059,24.14,32.84
Day 2 (20 June 2026),20 June 2026,54,SG250108486,1020600061,51.45,74.02
Day 2 (20 June 2026),20 June 2026,96,SG250117633,1020600063,38.11,53.43
Day 2 (20 June 2026),20 June 2026,179,SG250125202,1020600065,8.12,12.75
Day 2 (20 June 2026),20 June 2026,109,SG250125488,1020600066,33.13,47.06
Day 2 (20 June 2026),20 June 2026,39,SG250147001,1020600071,57.74,81.37
Day 2 (20 June 2026),20 June 2026,136,SG250012508,1030600072,24.48,33.82
Day 2 (20 June 2026),20 June 2026,127,SG250037227,1030600076,27.15,38.24
Day 2 (20 June 2026),20 June 2026,18,SG250039680,1030600077,69.39,91.67
Day 2 (20 June 2026),20 June 2026,176,SG250042820,1030600078,8.43,14.22
Day 2 (20 June 2026),20 June 2026,89,SG250055919,1030600081,40.11,56.86
Day 2 (20 June 2026),20 June 2026,135,SG250080167,1030600085,25.47,34.31
Day 2 (20 June 2026),20 June 2026,112,SG250098235,1030600086,32.16,45.59
Day 2 (20 June 2026),20 June 2026,169,SG250099395,1030600087,10.06,17.65
