Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 1 (19 July 2026),19 July 2026,12,SG250002572,1010400001,28.13,31.25
Day 1 (19 July 2026),19 July 2026,15,SG250002597,1010400002,19.82,12.5
Day 1 (19 July 2026),19 July 2026,1,SG250023947,1010400003,65.37,100.0
Day 1 (19 July 2026),19 July 2026,8,SG250035767,1010400004,45.03,56.25
Day 1 (19 July 2026),19 July 2026,3,SG250057998,1010400005,52.36,87.5
Day 1 (19 July 2026),19 July 2026,13,SG250064863,1010400006,26.76,25.0
Day 1 (19 July 2026),19 July 2026,10,SG250078233,1010400008,34.72,43.75
Day 1 (19 July 2026),19 July 2026,7,SG250108782,1010400009,46.75,62.5
Day 1 (19 July 2026),19 July 2026,16,SG250003589,1020400010,19.38,6.25
Day 1 (19 July 2026),19 July 2026,11,SG250011361,1020400011,31.08,37.5
Day 1 (19 July 2026),19 July 2026,14,SG250023721,1020400012,22.81,18.75
Day 1 (19 July 2026),19 July 2026,6,SG250051291,1020400013,48.06,68.75
Day 1 (19 July 2026),19 July 2026,2,SG250099785,1020400015,52.41,93.75
Day 1 (19 July 2026),19 July 2026,4,SG250018184,1030400018,50.78,81.25
Day 1 (19 July 2026),19 July 2026,9,SG250064717,1030400020,36.69,50.0
Day 1 (19 July 2026),19 July 2026,5,SG250057626,1050400025,49.41,75.0
