Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,9,SG250000624,1011200001,53.74,97.76
Day 2 (20 June 2026),20 June 2026,60,SG250009883,1011200004,40.1,83.47
Day 2 (20 June 2026),20 June 2026,38,SG250011268,1011200005,45.04,89.64
Day 2 (20 June 2026),20 June 2026,316,SG250018497,1011200008,6.51,11.76
Day 2 (20 June 2026),20 June 2026,223,SG250019069,1011200009,20.74,37.82
Day 2 (20 June 2026),20 June 2026,273,SG250024383,1011200014,13.11,23.81
Day 2 (20 June 2026),20 June 2026,212,SG250025775,1011200015,22.42,40.9
Day 2 (20 June 2026),20 June 2026,289,SG250034939,1011200022,10.21,19.33
Day 2 (20 June 2026),20 June 2026,322,SG250040776,1011200026,5.9,10.08
Day 2 (20 June 2026),20 June 2026,302,SG250045266,1011200028,8.8,15.69
Day 2 (20 June 2026),20 June 2026,33,SG250052352,1011200030,46.07,91.04
Day 2 (20 June 2026),20 June 2026,162,SG250057297,1011200032,27.42,54.9
Day 2 (20 June 2026),20 June 2026,220,SG250059095,1011200034,20.81,38.66
Day 2 (20 June 2026),20 June 2026,326,SG250061242,1011200036,5.51,8.96
Day 2 (20 June 2026),20 June 2026,230,SG250063876,1011200037,19.8,35.85
Day 2 (20 June 2026),20 June 2026,137,SG250064024,1011200038,29.83,61.9
Day 2 (20 June 2026),20 June 2026,238,SG250073717,1011200041,18.79,33.61
Day 2 (20 June 2026),20 June 2026,274,SG250075249,1011200042,12.87,23.53
Day 2 (20 June 2026),20 June 2026,209,SG250079266,1011200045,22.46,41.74
Day 2 (20 June 2026),20 June 2026,165,SG250080517,1011200046,27.13,54.06
Day 2 (20 June 2026),20 June 2026,42,SG250087432,1011200049,44.07,88.52
Day 2 (20 June 2026),20 June 2026,246,SG250089459,1011200050,17.77,31.37
Day 2 (20 June 2026),20 June 2026,272,SG250092929,1011200051,13.16,24.09
Day 2 (20 June 2026),20 June 2026,310,SG250093546,1011200052,7.43,13.45
Day 2 (20 June 2026),20 June 2026,298,SG250114307,1011200059,8.89,16.81
Day 2 (20 June 2026),20 June 2026,352,SG250123812,1011200061,-3.74,1.68
Day 2 (20 June 2026),20 June 2026,297,SG250129057,1011200062,9.12,17.09
Day 2 (20 June 2026),20 June 2026,300,SG250129647,1011200064,8.87,16.25
Day 2 (20 June 2026),20 June 2026,23,SG250002688,1021200072,49.07,93.84
Day 2 (20 June 2026),20 June 2026,63,SG250005249,1021200074,39.4,82.63
Day 2 (20 June 2026),20 June 2026,267,SG250021199,1021200078,14.5,25.49
Day 2 (20 June 2026),20 June 2026,346,SG250021248,1021200079,-1.17,3.36
Day 2 (20 June 2026),20 June 2026,170,SG250022886,1021200080,26.13,52.66
Day 2 (20 June 2026),20 June 2026,312,SG250028965,1021200085,7.21,12.89
Day 2 (20 June 2026),20 June 2026,214,SG250029146,1021200086,22.17,40.34
Day 2 (20 June 2026),20 June 2026,227,SG250031113,1021200089,20.09,36.69
Day 2 (20 June 2026),20 June 2026,18,SG250035079,1021200093,51.39,95.24
Day 2 (20 June 2026),20 June 2026,108,SG250038392,1021200098,32.75,70.03
Day 2 (20 June 2026),20 June 2026,178,SG250052133,1021200105,25.52,50.42
Day 2 (20 June 2026),20 June 2026,135,SG250052426,1021200106,30.4,62.46
Day 2 (20 June 2026),20 June 2026,65,SG250062658,1021200108,39.1,82.07
Day 2 (20 June 2026),20 June 2026,141,SG250083390,1021200114,29.45,60.78
Day 2 (20 June 2026),20 June 2026,307,SG250084095,1021200115,8.22,14.29
Day 2 (20 June 2026),20 June 2026,328,SG250097874,1021200119,5.18,8.4
Day 2 (20 June 2026),20 June 2026,242,SG250103166,1021200122,18.16,32.49
Day 2 (20 June 2026),20 June 2026,299,SG250114392,1021200127,8.89,16.53
Day 2 (20 June 2026),20 June 2026,263,SG250125083,1021200132,14.88,26.61
Day 2 (20 June 2026),20 June 2026,334,SG250127934,1021200133,3.12,6.72
Day 2 (20 June 2026),20 June 2026,68,SG250019167,1031200148,39.06,81.23
Day 2 (20 June 2026),20 June 2026,51,SG250019469,1031200149,41.06,85.99
Day 2 (20 June 2026),20 June 2026,36,SG250025316,1031200151,45.06,90.2
