Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,223,SG250002813,1010700003,57.41,85.45
Day 2 (20 June 2026),20 June 2026,473,SG250003081,1010700004,46.12,69.07
Day 2 (20 June 2026),20 June 2026,680,SG250004063,1010700006,38.8,55.5
Day 2 (20 June 2026),20 June 2026,1065,SG250005884,1010700009,24.47,30.28
Day 2 (20 June 2026),20 June 2026,768,SG250006036,1010700010,35.46,49.74
Day 2 (20 June 2026),20 June 2026,966,SG250006671,1010700011,28.5,36.76
Day 2 (20 June 2026),20 June 2026,558,SG250006738,1010700012,43.12,63.5
Day 2 (20 June 2026),20 June 2026,321,SG250007300,1010700013,52.12,79.03
Day 2 (20 June 2026),20 June 2026,181,SG250007626,1010700014,59.75,88.2
Day 2 (20 June 2026),20 June 2026,726,SG250010588,1010700016,36.77,52.49
Day 2 (20 June 2026),20 June 2026,1247,SG250014186,1010700020,16.86,18.35
Day 2 (20 June 2026),20 June 2026,439,SG250015633,1010700022,47.77,71.3
Day 2 (20 June 2026),20 June 2026,925,SG250016141,1010700023,30.12,39.45
Day 2 (20 June 2026),20 June 2026,937,SG250018362,1010700024,29.51,38.66
Day 2 (20 June 2026),20 June 2026,95,SG250019246,1010700025,65.4,93.84
Day 2 (20 June 2026),20 June 2026,1319,SG250021126,1010700028,13.55,13.63
Day 2 (20 June 2026),20 June 2026,180,SG250021865,1010700029,59.76,88.27
Day 2 (20 June 2026),20 June 2026,867,SG250025144,1010700031,32.13,43.25
Day 2 (20 June 2026),20 June 2026,580,SG250026289,1010700033,42.14,62.06
Day 2 (20 June 2026),20 June 2026,754,SG250029652,1010700036,36.1,50.66
Day 2 (20 June 2026),20 June 2026,390,SG250032098,1010700038,49.76,74.51
Day 2 (20 June 2026),20 June 2026,741,SG250032723,1010700039,36.41,51.51
Day 2 (20 June 2026),20 June 2026,1043,SG250034692,1010700040,25.17,31.72
Day 2 (20 June 2026),20 June 2026,802,SG250034712,1010700041,34.45,47.51
Day 2 (20 June 2026),20 June 2026,875,SG250035998,1010700042,32.1,42.73
Day 2 (20 June 2026),20 June 2026,111,SG250036604,1010700043,63.75,92.79
Day 2 (20 June 2026),20 June 2026,229,SG250038533,1010700044,57.09,85.06
Day 2 (20 June 2026),20 June 2026,759,SG250039565,1010700045,35.79,50.33
Day 2 (20 June 2026),20 June 2026,1084,SG250040961,1010700048,23.81,29.03
Day 2 (20 June 2026),20 June 2026,1515,SG250045219,1010700050,-1.08,0.79
Day 2 (20 June 2026),20 June 2026,547,SG250045253,1010700051,43.43,64.22
Day 2 (20 June 2026),20 June 2026,1143,SG250049256,1010700052,21.19,25.16
Day 2 (20 June 2026),20 June 2026,403,SG250050159,1010700053,49.42,73.66
Day 2 (20 June 2026),20 June 2026,775,SG250051402,1010700054,35.16,49.28
Day 2 (20 June 2026),20 June 2026,1140,SG250051767,1010700055,21.46,25.36
Day 2 (20 June 2026),20 June 2026,566,SG250053616,1010700056,42.81,62.98
Day 2 (20 June 2026),20 June 2026,325,SG250055137,1010700057,52.1,78.77
Day 2 (20 June 2026),20 June 2026,441,SG250056268,1010700058,47.74,71.17
Day 2 (20 June 2026),20 June 2026,895,SG250060369,1010700059,31.45,41.42
Day 2 (20 June 2026),20 June 2026,1347,SG250066310,1010700061,12.21,11.8
Day 2 (20 June 2026),20 June 2026,782,SG250068240,1010700063,35.12,48.82
Day 2 (20 June 2026),20 June 2026,652,SG250068977,1010700065,39.47,57.34
Day 2 (20 June 2026),20 June 2026,1067,SG250069071,1010700066,24.45,30.14
Day 2 (20 June 2026),20 June 2026,1004,SG250069130,1010700067,26.85,34.27
Day 2 (20 June 2026),20 June 2026,776,SG250070986,1010700071,35.15,49.21
Day 2 (20 June 2026),20 June 2026,1111,SG250081712,1010700072,22.5,27.26
Day 2 (20 June 2026),20 June 2026,645,SG250087189,1010700076,39.78,57.8
Day 2 (20 June 2026),20 June 2026,651,SG250091328,1010700079,39.48,57.4
Day 2 (20 June 2026),20 June 2026,699,SG250091983,1010700080,37.49,54.26
Day 2 (20 June 2026),20 June 2026,567,SG250093806,1010700082,42.81,62.91
Day 2 (20 June 2026),20 June 2026,513,SG250094588,1010700083,44.44,66.45
Day 2 (20 June 2026),20 June 2026,118,SG250094945,1010700084,63.09,92.33
Day 2 (20 June 2026),20 June 2026,692,SG250095524,1010700085,38.14,54.72
Day 2 (20 June 2026),20 June 2026,1048,SG250098541,1010700087,25.12,31.39
Day 2 (20 June 2026),20 June 2026,1396,SG250100117,1010700089,8.85,8.58
Day 2 (20 June 2026),20 June 2026,1339,SG250102850,1010700092,12.79,12.32
Day 2 (20 June 2026),20 June 2026,1450,SG250107764,1010700093,5.8,5.05
Day 2 (20 June 2026),20 June 2026,1495,SG250107965,1010700094,1.48,2.1
Day 2 (20 June 2026),20 June 2026,570,SG250108278,1010700095,42.79,62.71
Day 2 (20 June 2026),20 June 2026,163,SG250113335,1010700099,60.75,89.38
Day 2 (20 June 2026),20 June 2026,1432,SG250115716,1010700102,6.9,6.23
Day 2 (20 June 2026),20 June 2026,656,SG250117061,1010700103,39.46,57.08
Day 2 (20 June 2026),20 June 2026,1253,SG250120864,1010700104,16.52,17.96
Day 2 (20 June 2026),20 June 2026,1211,SG250121734,1010700106,18.74,20.71
Day 2 (20 June 2026),20 June 2026,1032,SG250123337,1010700108,25.77,32.44
Day 2 (20 June 2026),20 June 2026,526,SG250125299,1010700109,44.12,65.6
Day 2 (20 June 2026),20 June 2026,1060,SG250130450,1010700111,24.52,30.6
Day 2 (20 June 2026),20 June 2026,147,SG250133590,1010700112,61.4,90.43
Day 2 (20 June 2026),20 June 2026,1055,SG250138095,1010700118,24.79,30.93
Day 2 (20 June 2026),20 June 2026,42,SG250149705,1010700128,70.72,97.31
Day 2 (20 June 2026),20 June 2026,1372,SG250150654,1010700131,10.21,10.16
Day 2 (20 June 2026),20 June 2026,130,SG250001062,1020700132,62.4,91.55
Day 2 (20 June 2026),20 June 2026,127,SG250002433,1020700136,62.75,91.74
Day 2 (20 June 2026),20 June 2026,1189,SG250003560,1020700138,19.35,22.15
Day 2 (20 June 2026),20 June 2026,904,SG250004914,1020700140,30.84,40.83
Day 2 (20 June 2026),20 June 2026,573,SG250005497,1020700141,42.75,62.52
Day 2 (20 June 2026),20 June 2026,62,SG250006871,1020700143,68.39,96.0
Day 2 (20 June 2026),20 June 2026,1204,SG250008045,1020700144,18.86,21.17
Day 2 (20 June 2026),20 June 2026,83,SG250011100,1020700145,66.4,94.63
Day 2 (20 June 2026),20 June 2026,326,SG250011236,1020700146,52.1,78.7
Day 2 (20 June 2026),20 June 2026,1390,SG250011305,1020700147,9.49,8.98
Day 2 (20 June 2026),20 June 2026,1094,SG250011836,1020700149,23.45,28.37
Day 2 (20 June 2026),20 June 2026,716,SG250011874,1020700150,37.1,53.15
Day 2 (20 June 2026),20 June 2026,186,SG250011918,1020700151,59.42,87.88
Day 2 (20 June 2026),20 June 2026,488,SG250012429,1020700153,45.78,68.09
Day 2 (20 June 2026),20 June 2026,29,SG250012532,1020700154,72.71,98.17
Day 2 (20 June 2026),20 June 2026,1289,SG250013014,1020700155,14.88,15.6
Day 2 (20 June 2026),20 June 2026,280,SG250014028,1020700156,54.44,81.72
Day 2 (20 June 2026),20 June 2026,1509,SG250015887,1020700158,-0.18,1.18
Day 2 (20 June 2026),20 June 2026,464,SG250016349,1020700159,46.77,69.66
Day 2 (20 June 2026),20 June 2026,212,SG250017984,1020700162,58.09,86.17
Day 2 (20 June 2026),20 June 2026,535,SG250018208,1020700164,43.77,65.01
Day 2 (20 June 2026),20 June 2026,265,SG250019662,1020700167,55.42,82.7
Day 2 (20 June 2026),20 June 2026,396,SG250020485,1020700169,49.46,74.12
Day 2 (20 June 2026),20 June 2026,938,SG250021318,1020700170,29.51,38.6
Day 2 (20 June 2026),20 June 2026,1308,SG250021488,1020700172,14.2,14.35
Day 2 (20 June 2026),20 June 2026,401,SG250040211,1020700183,49.43,73.79
Day 2 (20 June 2026),20 June 2026,1440,SG250040777,1020700184,6.67,5.7
Day 2 (20 June 2026),20 June 2026,246,SG250041060,1020700185,56.4,83.94
Day 2 (20 June 2026),20 June 2026,600,SG250041870,1020700186,41.46,60.75
Day 2 (20 June 2026),20 June 2026,1131,SG250042737,1020700187,21.52,25.95
Day 2 (20 June 2026),20 June 2026,1011,SG250044778,1020700189,26.76,33.81
Day 2 (20 June 2026),20 June 2026,1424,SG250046113,1020700191,7.23,6.75
Day 2 (20 June 2026),20 June 2026,967,SG250046977,1020700193,28.5,36.7
Day 2 (20 June 2026),20 June 2026,1187,SG250050003,1020700196,19.48,22.28
Day 2 (20 June 2026),20 June 2026,801,SG250051155,1020700197,34.46,47.58
Day 2 (20 June 2026),20 June 2026,779,SG250051645,1020700198,35.13,49.02
Day 2 (20 June 2026),20 June 2026,230,SG250052586,1020700199,57.09,84.99
Day 2 (20 June 2026),20 June 2026,1291,SG250058010,1020700203,14.87,15.47
Day 2 (20 June 2026),20 June 2026,232,SG250064992,1020700205,57.08,84.86
Day 2 (20 June 2026),20 June 2026,665,SG250070384,1020700209,39.14,56.49
Day 2 (20 June 2026),20 June 2026,106,SG250075590,1020700214,64.09,93.12
Day 2 (20 June 2026),20 June 2026,1463,SG250080994,1020700216,4.56,4.19
Day 2 (20 June 2026),20 June 2026,565,SG250082336,1020700217,43.06,63.04
Day 2 (20 June 2026),20 June 2026,770,SG250084712,1020700220,35.44,49.61
Day 2 (20 June 2026),20 June 2026,1127,SG250084963,1020700221,21.79,26.21
Day 2 (20 June 2026),20 June 2026,70,SG250085038,1020700222,67.4,95.48
Day 2 (20 June 2026),20 June 2026,368,SG250086101,1020700223,50.75,75.95
Day 2 (20 June 2026),20 June 2026,275,SG250086409,1020700224,54.76,82.04
Day 2 (20 June 2026),20 June 2026,1378,SG250089513,1020700228,10.1,9.76
Day 2 (20 June 2026),20 June 2026,870,SG250090979,1020700230,32.12,43.05
Day 2 (20 June 2026),20 June 2026,1439,SG250092937,1020700232,6.79,5.77
Day 2 (20 June 2026),20 June 2026,1185,SG250094935,1020700233,19.51,22.41
Day 2 (20 June 2026),20 June 2026,136,SG250098686,1020700234,62.07,91.15
Day 2 (20 June 2026),20 June 2026,235,SG250099373,1020700236,56.75,84.67
Day 2 (20 June 2026),20 June 2026,1349,SG250099403,1020700237,12.2,11.66
Day 2 (20 June 2026),20 June 2026,1255,SG250100436,1020700238,16.51,17.82
Day 2 (20 June 2026),20 June 2026,1030,SG250103043,1020700240,25.81,32.57
Day 2 (20 June 2026),20 June 2026,936,SG250103613,1020700241,29.75,38.73
Day 2 (20 June 2026),20 June 2026,1498,SG250106240,1020700243,1.17,1.9
Day 2 (20 June 2026),20 June 2026,640,SG250106566,1020700244,40.11,58.13
Day 2 (20 June 2026),20 June 2026,609,SG250108321,1020700246,41.13,60.16
Day 2 (20 June 2026),20 June 2026,1446,SG250108660,1020700247,6.1,5.31
Day 2 (20 June 2026),20 June 2026,294,SG250109680,1020700249,53.77,80.8
Day 2 (20 June 2026),20 June 2026,1462,SG250112838,1020700254,4.86,4.26
Day 2 (20 June 2026),20 June 2026,1208,SG250115914,1020700257,18.79,20.9
Day 2 (20 June 2026),20 June 2026,1089,SG250120621,1020700259,23.51,28.7
Day 2 (20 June 2026),20 June 2026,175,SG250122709,1020700262,60.08,88.6
Day 2 (20 June 2026),20 June 2026,1141,SG250123577,1020700264,21.44,25.29
Day 2 (20 June 2026),20 June 2026,946,SG250129210,1020700268,29.15,38.07
Day 2 (20 June 2026),20 June 2026,876,SG250134293,1020700271,32.09,42.66
Day 2 (20 June 2026),20 June 2026,1270,SG250136068,1020700272,15.87,16.84
Day 2 (20 June 2026),20 June 2026,527,SG250137679,1020700274,44.12,65.53
Day 2 (20 June 2026),20 June 2026,990,SG250138434,1020700275,27.48,35.19
Day 2 (20 June 2026),20 June 2026,760,SG250143500,1020700283,35.78,50.26
Day 2 (20 June 2026),20 June 2026,969,SG250143840,1020700285,28.49,36.57
Day 2 (20 June 2026),20 June 2026,871,SG250144098,1020700286,32.12,42.99
Day 2 (20 June 2026),20 June 2026,16,SG250148684,1020700289,75.7,99.02
Day 2 (20 June 2026),20 June 2026,1226,SG250148937,1020700290,17.87,19.72
Day 2 (20 June 2026),20 June 2026,528,SG250000320,1030700291,44.11,65.47
Day 2 (20 June 2026),20 June 2026,581,SG250000362,1030700292,42.14,61.99
Day 2 (20 June 2026),20 June 2026,455,SG250000465,1030700293,47.12,70.25
Day 2 (20 June 2026),20 June 2026,68,SG250001050,1030700294,67.41,95.61
Day 2 (20 June 2026),20 June 2026,52,SG250001795,1030700295,69.39,96.66
