Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 2 (20 June 2026),20 June 2026,2630,SG250002947,1010800001,4.0,4.57
Day 2 (20 June 2026),20 June 2026,1072,SG250006159,1010800004,40.4,61.13
Day 2 (20 June 2026),20 June 2026,1510,SG250006431,1010800005,32.11,45.23
Day 2 (20 June 2026),20 June 2026,1656,SG250007697,1010800007,29.81,39.93
Day 2 (20 June 2026),20 June 2026,2361,SG250009639,1010800009,14.16,14.34
Day 2 (20 June 2026),20 June 2026,2627,SG250011390,1010800010,4.19,4.68
Day 2 (20 June 2026),20 June 2026,1339,SG250012794,1010800011,35.1,51.43
Day 2 (20 June 2026),20 June 2026,697,SG250016104,1010800015,47.13,74.74
Day 2 (20 June 2026),20 June 2026,575,SG250017150,1010800016,49.79,79.17
Day 2 (20 June 2026),20 June 2026,2173,SG250019854,1010800021,19.75,21.16
Day 2 (20 June 2026),20 June 2026,2165,SG250022557,1010800023,20.11,21.45
Day 2 (20 June 2026),20 June 2026,1924,SG250022558,1010800024,25.45,30.2
Day 2 (20 June 2026),20 June 2026,2589,SG250024986,1010800025,6.52,6.06
Day 2 (20 June 2026),20 June 2026,1262,SG250025740,1010800026,36.49,54.23
Day 2 (20 June 2026),20 June 2026,1711,SG250026808,1010800027,29.11,37.93
Day 2 (20 June 2026),20 June 2026,134,SG250027543,1010800029,62.73,95.17
Day 2 (20 June 2026),20 June 2026,1405,SG250032173,1010800032,33.8,49.04
Day 2 (20 June 2026),20 June 2026,1771,SG250033684,1010800034,28.12,35.75
Day 2 (20 June 2026),20 June 2026,1798,SG250033755,1010800035,27.49,34.77
Day 2 (20 June 2026),20 June 2026,1959,SG250034046,1010800036,24.79,28.93
Day 2 (20 June 2026),20 June 2026,1242,SG250037121,1010800039,37.11,54.95
Day 2 (20 June 2026),20 June 2026,641,SG250038630,1010800040,48.13,76.77
Day 2 (20 June 2026),20 June 2026,1511,SG250038802,1010800041,32.11,45.19
Day 2 (20 June 2026),20 June 2026,2555,SG250039287,1010800042,8.16,7.3
Day 2 (20 June 2026),20 June 2026,299,SG250039547,1010800043,56.42,89.18
Day 2 (20 June 2026),20 June 2026,1305,SG250041503,1010800044,35.49,52.67
Day 2 (20 June 2026),20 June 2026,87,SG250042322,1010800046,65.75,96.88
Day 2 (20 June 2026),20 June 2026,1392,SG250042725,1010800047,34.12,49.51
Day 2 (20 June 2026),20 June 2026,98,SG250043261,1010800048,64.75,96.48
Day 2 (20 June 2026),20 June 2026,932,SG250044384,1010800050,43.12,66.21
Day 2 (20 June 2026),20 June 2026,97,SG250049379,1010800053,65.06,96.52
Day 2 (20 June 2026),20 June 2026,2467,SG250049611,1010800054,11.15,10.49
Day 2 (20 June 2026),20 June 2026,866,SG250050157,1010800056,44.42,68.6
Day 2 (20 June 2026),20 June 2026,2697,SG250051206,1010800061,0.25,2.14
Day 2 (20 June 2026),20 June 2026,772,SG250052077,1010800062,46.08,72.01
Day 2 (20 June 2026),20 June 2026,1776,SG250053369,1010800063,28.09,35.57
Day 2 (20 June 2026),20 June 2026,2026,SG250054239,1010800064,23.14,26.5
Day 2 (20 June 2026),20 June 2026,2462,SG250054475,1010800065,11.21,10.67
Day 2 (20 June 2026),20 June 2026,2264,SG250055511,1010800066,17.17,17.86
Day 2 (20 June 2026),20 June 2026,1778,SG250056167,1010800067,27.84,35.5
Day 2 (20 June 2026),20 June 2026,222,SG250057051,1010800068,58.75,91.98
Day 2 (20 June 2026),20 June 2026,2258,SG250062678,1010800072,17.2,18.08
Day 2 (20 June 2026),20 June 2026,1383,SG250063356,1010800074,34.14,49.84
Day 2 (20 June 2026),20 June 2026,2157,SG250063742,1010800075,20.16,21.74
Day 2 (20 June 2026),20 June 2026,1248,SG250063815,1010800076,36.81,54.74
Day 2 (20 June 2026),20 June 2026,332,SG250064926,1010800078,55.44,87.99
Day 2 (20 June 2026),20 June 2026,1887,SG250067060,1010800082,25.84,31.54
Day 2 (20 June 2026),20 June 2026,85,SG250070651,1010800088,66.07,96.95
Day 2 (20 June 2026),20 June 2026,1036,SG250070994,1010800089,41.11,62.43
Day 2 (20 June 2026),20 June 2026,1103,SG250071019,1010800090,39.76,60.0
Day 2 (20 June 2026),20 June 2026,653,SG250074347,1010800093,48.1,76.33
Day 2 (20 June 2026),20 June 2026,1704,SG250074513,1010800094,29.13,38.19
Day 2 (20 June 2026),20 June 2026,1193,SG250075187,1010800095,38.12,56.73
Day 2 (20 June 2026),20 June 2026,1026,SG250076281,1010800096,41.44,62.79
Day 2 (20 June 2026),20 June 2026,2217,SG250076476,1010800097,18.45,19.56
Day 2 (20 June 2026),20 June 2026,477,SG250077613,1010800099,52.4,82.72
Day 2 (20 June 2026),20 June 2026,348,SG250077938,1010800100,55.1,87.4
Day 2 (20 June 2026),20 June 2026,341,SG250078200,1010800101,55.39,87.66
Day 2 (20 June 2026),20 June 2026,391,SG250079406,1010800102,54.07,85.84
Day 2 (20 June 2026),20 June 2026,1529,SG250082650,1010800106,31.78,44.54
Day 2 (20 June 2026),20 June 2026,1107,SG250089635,1010800109,39.74,59.85
Day 2 (20 June 2026),20 June 2026,1043,SG250090159,1010800110,40.79,62.18
Day 2 (20 June 2026),20 June 2026,1712,SG250092296,1010800114,29.11,37.89
Day 2 (20 June 2026),20 June 2026,2251,SG250094315,1010800117,17.51,18.33
Day 2 (20 June 2026),20 June 2026,2741,SG250102745,1010800125,-4.79,0.54
Day 2 (20 June 2026),20 June 2026,2658,SG250107582,1010800126,2.57,3.56
Day 2 (20 June 2026),20 June 2026,980,SG250110334,1010800129,42.12,64.46
Day 2 (20 June 2026),20 June 2026,2158,SG250113241,1010800131,20.16,21.71
Day 2 (20 June 2026),20 June 2026,2135,SG250113297,1010800132,20.53,22.54
Day 2 (20 June 2026),20 June 2026,2558,SG250114359,1010800133,8.11,7.19
Day 2 (20 June 2026),20 June 2026,663,SG250120056,1010800135,47.78,75.97
Day 2 (20 June 2026),20 June 2026,1545,SG250120467,1010800137,31.5,43.96
Day 2 (20 June 2026),20 June 2026,2748,SG250121066,1010800139,-6.07,0.29
Day 2 (20 June 2026),20 June 2026,2537,SG250124838,1010800142,8.81,7.95
Day 2 (20 June 2026),20 June 2026,481,SG250125008,1010800143,52.12,82.58
Day 2 (20 June 2026),20 June 2026,2358,SG250125332,1010800144,14.17,14.45
Day 2 (20 June 2026),20 June 2026,1963,SG250127307,1010800145,24.52,28.78
Day 2 (20 June 2026),20 June 2026,618,SG250130545,1010800149,48.78,77.6
Day 2 (20 June 2026),20 June 2026,1953,SG250130596,1010800150,24.81,29.15
