Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 1 (19 July 2026),19 July 2026,272,SG250002056,1010500002,13.48,24.93
Day 1 (19 July 2026),19 July 2026,223,SG250002990,1010500004,22.12,38.5
Day 1 (19 July 2026),19 July 2026,79,SG250003657,1010500009,48.78,78.39
Day 1 (19 July 2026),19 July 2026,18,SG250005330,1010500011,66.4,95.29
Day 1 (19 July 2026),19 July 2026,105,SG250008065,1010500014,45.11,71.19
Day 1 (19 July 2026),19 July 2026,183,SG250008541,1010500016,28.5,49.58
Day 1 (19 July 2026),19 July 2026,165,SG250009664,1010500018,32.38,54.57
Day 1 (19 July 2026),19 July 2026,166,SG250012294,1010500022,32.17,54.29
Day 1 (19 July 2026),19 July 2026,164,SG250015926,1010500025,32.47,54.85
Day 1 (19 July 2026),19 July 2026,293,SG250016799,1010500027,10.84,19.11
Day 1 (19 July 2026),19 July 2026,36,SG250018114,1010500028,59.4,90.3
Day 1 (19 July 2026),19 July 2026,102,SG250020260,1010500032,46.06,72.02
Day 1 (19 July 2026),19 July 2026,12,SG250022107,1010500034,71.72,96.95
Day 1 (19 July 2026),19 July 2026,251,SG250027850,1010500039,16.8,30.75
Day 1 (19 July 2026),19 July 2026,358,SG250028043,1010500040,-6.07,1.11
Day 1 (19 July 2026),19 July 2026,240,SG250028781,1010500042,19.2,33.8
Day 1 (19 July 2026),19 July 2026,295,SG250030009,1010500046,9.56,18.56
Day 1 (19 July 2026),19 July 2026,219,SG250030964,1010500048,22.44,39.61
Day 1 (19 July 2026),19 July 2026,134,SG250031399,1010500049,38.46,63.16
Day 1 (19 July 2026),19 July 2026,80,SG250040712,1010500058,48.77,78.12
Day 1 (19 July 2026),19 July 2026,68,SG250041436,1010500059,50.41,81.44
Day 1 (19 July 2026),19 July 2026,122,SG250042268,1010500060,41.42,66.48
Day 1 (19 July 2026),19 July 2026,276,SG250043784,1010500061,12.34,23.82
Day 1 (19 July 2026),19 July 2026,286,SG250047397,1010500066,11.5,21.05
Day 1 (19 July 2026),19 July 2026,8,SG250048243,1010500067,77.04,98.06
Day 1 (19 July 2026),19 July 2026,98,SG250051727,1010500069,46.12,73.13
Day 1 (19 July 2026),19 July 2026,330,SG250052094,1010500071,4.46,8.86
Day 1 (19 July 2026),19 July 2026,148,SG250053080,1010500072,35.77,59.28
Day 1 (19 July 2026),19 July 2026,91,SG250055069,1010500078,47.72,75.07
Day 1 (19 July 2026),19 July 2026,316,SG250057275,1010500080,6.4,12.74
Day 1 (19 July 2026),19 July 2026,243,SG250058460,1010500081,18.52,32.96
Day 1 (19 July 2026),19 July 2026,324,SG250059345,1010500083,5.49,10.53
Day 1 (19 July 2026),19 July 2026,310,SG250060834,1010500085,7.42,14.4
Day 1 (19 July 2026),19 July 2026,72,SG250061274,1010500086,49.79,80.33
