Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 1 (19 July 2026),19 July 2026,59,SG250013760,1010300001,5.19,6.45
Day 1 (19 July 2026),19 July 2026,8,SG250020378,1010300005,36.82,88.71
Day 1 (19 July 2026),19 July 2026,6,SG250039532,1010300010,39.05,91.94
Day 1 (19 July 2026),19 July 2026,46,SG250050403,1010300013,18.45,27.42
Day 1 (19 July 2026),19 July 2026,3,SG250051106,1010300014,46.72,96.77
Day 1 (19 July 2026),19 July 2026,20,SG250069253,1010300016,30.83,69.35
Day 1 (19 July 2026),19 July 2026,23,SG250074603,1010300018,28.11,64.52
Day 1 (19 July 2026),19 July 2026,12,SG250102884,1010300019,34.1,82.26
Day 1 (19 July 2026),19 July 2026,27,SG250121913,1010300022,27.47,58.06
Day 1 (19 July 2026),19 July 2026,19,SG250131394,1010300023,31.02,70.97
Day 1 (19 July 2026),19 July 2026,51,SG250145704,1010300025,15.77,19.35
Day 1 (19 July 2026),19 July 2026,58,SG250148597,1010300026,5.47,8.06
Day 1 (19 July 2026),19 July 2026,55,SG250003906,1020300027,11.54,12.9
Day 1 (19 July 2026),19 July 2026,56,SG250007036,1020300028,10.8,11.29
Day 1 (19 July 2026),19 July 2026,4,SG250013702,1020300030,45.47,95.16
Day 1 (19 July 2026),19 July 2026,10,SG250016441,1020300031,34.43,85.48
Day 1 (19 July 2026),19 July 2026,30,SG250020982,1020300032,26.14,53.23
Day 1 (19 July 2026),19 July 2026,39,SG250022083,1020300033,22.07,38.71
Day 1 (19 July 2026),19 July 2026,15,SG250023092,1020300034,32.13,77.42
Day 1 (19 July 2026),19 July 2026,57,SG250029420,1020300036,10.55,9.68
Day 1 (19 July 2026),19 July 2026,40,SG250044890,1020300038,21.44,37.1
Day 1 (19 July 2026),19 July 2026,17,SG250048393,1020300040,31.4,74.19
Day 1 (19 July 2026),19 July 2026,33,SG250059626,1020300044,23.16,48.39
Day 1 (19 July 2026),19 July 2026,22,SG250066716,1020300045,29.4,66.13
Day 1 (19 July 2026),19 July 2026,47,SG250067238,1020300046,16.54,25.81
Day 1 (19 July 2026),19 July 2026,16,SG250068374,1020300048,31.79,75.81
Day 1 (19 July 2026),19 July 2026,54,SG250070580,1020300049,12.42,14.52
Day 1 (19 July 2026),19 July 2026,26,SG250076563,1020300052,27.49,59.68
Day 1 (19 July 2026),19 July 2026,34,SG250095687,1020300055,23.11,46.77
Day 1 (19 July 2026),19 July 2026,1,SG250097810,1020300057,80.68,100.0
Day 1 (19 July 2026),19 July 2026,25,SG250124745,1020300061,27.76,61.29
Day 1 (19 July 2026),19 July 2026,42,SG250131199,1020300064,20.78,33.87
Day 1 (19 July 2026),19 July 2026,52,SG250135880,1020300065,15.54,17.74
Day 1 (19 July 2026),19 July 2026,9,SG250137587,1020300066,36.15,87.1
Day 1 (19 July 2026),19 July 2026,2,SG250140099,1020300067,52.74,98.39
Day 1 (19 July 2026),19 July 2026,28,SG250007875,1030300073,26.78,56.45
Day 1 (19 July 2026),19 July 2026,36,SG250041926,1030300078,22.52,43.55
Day 1 (19 July 2026),19 July 2026,14,SG250048226,1030300079,32.82,79.03
Day 1 (19 July 2026),19 July 2026,44,SG250051871,1030300080,19.52,30.65
Day 1 (19 July 2026),19 July 2026,60,SG250056515,1030300081,4.87,4.84
Day 1 (19 July 2026),19 July 2026,24,SG250056711,1030300082,28.1,62.9
Day 1 (19 July 2026),19 July 2026,29,SG250090232,1030300084,26.16,54.84
Day 1 (19 July 2026),19 July 2026,50,SG250120174,1030300086,15.85,20.97
Day 1 (19 July 2026),19 July 2026,43,SG250004718,1040300090,20.35,32.26
Day 1 (19 July 2026),19 July 2026,11,SG250004780,1040300091,34.41,83.87
Day 1 (19 July 2026),19 July 2026,13,SG250011647,1040300092,33.8,80.65
Day 1 (19 July 2026),19 July 2026,7,SG250015407,1040300093,37.76,90.32
Day 1 (19 July 2026),19 July 2026,21,SG250023149,1040300095,29.83,67.74
Day 1 (19 July 2026),19 July 2026,62,SG250032956,1040300097,4.24,1.61
Day 1 (19 July 2026),19 July 2026,48,SG250082816,1040300102,16.42,24.19
Day 1 (19 July 2026),19 July 2026,49,SG250092211,1040300105,16.19,22.58
Day 1 (19 July 2026),19 July 2026,45,SG250106075,1040300107,19.36,29.03
Day 1 (19 July 2026),19 July 2026,61,SG250116510,1040300109,4.86,3.23
Day 1 (19 July 2026),19 July 2026,32,SG250134171,1040300114,24.73,50.0
Day 1 (19 July 2026),19 July 2026,18,SG250140532,1040300116,31.1,72.58
Day 1 (19 July 2026),19 July 2026,5,SG250040521,1050300121,43.06,93.55
Day 1 (19 July 2026),19 July 2026,31,SG250044781,1050300123,25.47,51.61
Day 1 (19 July 2026),19 July 2026,53,SG250050684,1050300124,15.15,16.13
Day 1 (19 July 2026),19 July 2026,41,SG250077995,1050300126,21.09,35.48
Day 1 (19 July 2026),19 July 2026,37,SG250083885,1050300127,22.19,41.94
Day 1 (19 July 2026),19 July 2026,38,SG250085454,1050300128,22.12,40.32
Day 1 (19 July 2026),19 July 2026,35,SG250118410,1050300130,22.83,45.16
