Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 3 (21 June 2026),21 June 2026,448,SG250003287,1011100001,67.03,95.35
Day 3 (21 June 2026),21 June 2026,421,SG250004152,1011100002,67.08,95.63
Day 3 (21 June 2026),21 June 2026,3870,SG250005870,1011100003,46.8,59.73
Day 3 (21 June 2026),21 June 2026,4816,SG250007879,1011100004,42.8,49.88
Day 3 (21 June 2026),21 June 2026,6907,SG250008040,1011100005,33.42,28.11
Day 3 (21 June 2026),21 June 2026,7344,SG250009232,1011100007,30.83,23.57
Day 3 (21 June 2026),21 June 2026,530,SG250009241,1011100008,65.74,94.49
Day 3 (21 June 2026),21 June 2026,6506,SG250010763,1011100010,35.43,32.29
Day 3 (21 June 2026),21 June 2026,8187,SG250011148,1011100011,25.18,14.79
Day 3 (21 June 2026),21 June 2026,3751,SG250011656,1011100012,47.43,60.97
Day 3 (21 June 2026),21 June 2026,4211,SG250013111,1011100013,45.45,56.18
Day 3 (21 June 2026),21 June 2026,3323,SG250014620,1011100014,49.41,65.42
Day 3 (21 June 2026),21 June 2026,3334,SG250015872,1011100015,49.4,65.31
Day 3 (21 June 2026),21 June 2026,4249,SG250016197,1011100016,45.42,55.78
Day 3 (21 June 2026),21 June 2026,9095,SG250018710,1011100018,14.36,5.34
Day 3 (21 June 2026),21 June 2026,1747,SG250020333,1011100019,57.07,81.83
Day 3 (21 June 2026),21 June 2026,3045,SG250020470,1011100020,50.44,68.31
Day 3 (21 June 2026),21 June 2026,7526,SG250020666,1011100021,29.51,21.67
Day 3 (21 June 2026),21 June 2026,6256,SG250024460,1011100028,36.76,34.89
Day 3 (21 June 2026),21 June 2026,6766,SG250024895,1011100029,33.82,29.58
Day 3 (21 June 2026),21 June 2026,8181,SG250025039,1011100030,25.44,14.85
Day 3 (21 June 2026),21 June 2026,1127,SG250025335,1011100031,60.43,88.28
Day 3 (21 June 2026),21 June 2026,2603,SG250025392,1011100032,52.45,72.92
Day 3 (21 June 2026),21 June 2026,7434,SG250025972,1011100033,30.17,22.63
Day 3 (21 June 2026),21 June 2026,8961,SG250026673,1011100034,16.21,6.73
Day 3 (21 June 2026),21 June 2026,5087,SG250026675,1011100035,41.75,47.06
Day 3 (21 June 2026),21 June 2026,4442,SG250027503,1011100036,44.45,53.77
Day 3 (21 June 2026),21 June 2026,7067,SG250028016,1011100038,32.17,26.45
Day 3 (21 June 2026),21 June 2026,6086,SG250028711,1011100039,37.48,36.66
Day 3 (21 June 2026),21 June 2026,9226,SG250029157,1011100040,11.55,3.98
Day 3 (21 June 2026),21 June 2026,3511,SG250029731,1011100042,48.45,63.46
Day 3 (21 June 2026),21 June 2026,7451,SG250030026,1011100043,30.15,22.45
Day 3 (21 June 2026),21 June 2026,7358,SG250030783,1011100044,30.81,23.42
Day 3 (21 June 2026),21 June 2026,592,SG250031460,1011100045,65.07,93.85
Day 3 (21 June 2026),21 June 2026,9364,SG250031587,1011100046,7.03,2.54
Day 3 (21 June 2026),21 June 2026,8229,SG250033429,1011100049,24.83,14.35
Day 3 (21 June 2026),21 June 2026,6239,SG250033474,1011100050,36.78,35.07
Day 3 (21 June 2026),21 June 2026,9071,SG250034539,1011100051,14.83,5.59
Day 3 (21 June 2026),21 June 2026,5728,SG250035490,1011100052,38.82,40.39
Day 3 (21 June 2026),21 June 2026,6876,SG250036881,1011100054,33.47,28.44
Day 3 (21 June 2026),21 June 2026,8870,SG250036992,1011100056,17.54,7.68
Day 3 (21 June 2026),21 June 2026,9577,SG250037783,1011100058,-2.41,0.32
Day 3 (21 June 2026),21 June 2026,415,SG250038157,1011100059,67.38,95.69
Day 3 (21 June 2026),21 June 2026,2415,SG250042007,1011100060,53.43,74.87
Day 3 (21 June 2026),21 June 2026,2704,SG250043044,1011100061,52.09,71.86
Day 3 (21 June 2026),21 June 2026,3250,SG250043544,1011100063,49.73,66.18
Day 3 (21 June 2026),21 June 2026,8419,SG250043769,1011100064,23.19,12.38
Day 3 (21 June 2026),21 June 2026,3355,SG250045594,1011100065,49.37,65.09
Day 3 (21 June 2026),21 June 2026,2957,SG250047573,1011100066,50.79,69.23
Day 3 (21 June 2026),21 June 2026,8043,SG250047913,1011100068,26.42,16.29
Day 3 (21 June 2026),21 June 2026,6624,SG250050563,1011100069,34.8,31.06
Day 3 (21 June 2026),21 June 2026,524,SG250053733,1011100072,66.04,94.56
Day 3 (21 June 2026),21 June 2026,458,SG250054743,1011100073,66.74,95.24
Day 3 (21 June 2026),21 June 2026,2837,SG250055102,1011100074,51.42,70.48
Day 3 (21 June 2026),21 June 2026,1624,SG250057734,1011100075,57.73,83.11
Day 3 (21 June 2026),21 June 2026,5630,SG250057808,1011100076,39.42,41.41
Day 3 (21 June 2026),21 June 2026,3675,SG250059708,1011100078,47.77,61.76
Day 3 (21 June 2026),21 June 2026,7632,SG250061860,1011100080,29.13,20.57
Day 3 (21 June 2026),21 June 2026,8470,SG250062480,1011100081,22.84,11.85
Day 3 (21 June 2026),21 June 2026,6573,SG250063052,1011100082,34.83,31.59
Day 3 (21 June 2026),21 June 2026,4039,SG250064391,1011100083,46.11,57.97
Day 3 (21 June 2026),21 June 2026,1376,SG250066129,1011100084,59.06,85.69
Day 3 (21 June 2026),21 June 2026,3739,SG250071348,1011100087,47.44,61.09
Day 3 (21 June 2026),21 June 2026,860,SG250073824,1011100091,62.42,91.06
Day 3 (21 June 2026),21 June 2026,9447,SG250073893,1011100092,3.86,1.68
Day 3 (21 June 2026),21 June 2026,5647,SG250075340,1011100093,39.15,41.23
Day 3 (21 June 2026),21 June 2026,4890,SG250076113,1011100094,42.73,49.11
Day 3 (21 June 2026),21 June 2026,1245,SG250076661,1011100096,59.75,87.05
Day 3 (21 June 2026),21 June 2026,4793,SG250076797,1011100097,42.81,50.12
Day 3 (21 June 2026),21 June 2026,6259,SG250077624,1011100099,36.75,34.86
Day 3 (21 June 2026),21 June 2026,1666,SG250078412,1011100100,57.42,82.67
Day 3 (21 June 2026),21 June 2026,1915,SG250079277,1011100101,56.06,80.08
Day 3 (21 June 2026),21 June 2026,2156,SG250081924,1011100105,54.75,77.57
Day 3 (21 June 2026),21 June 2026,2332,SG250084454,1011100107,53.76,75.74
Day 3 (21 June 2026),21 June 2026,1021,SG250085686,1011100108,61.39,89.38
Day 3 (21 June 2026),21 June 2026,6454,SG250086858,1011100109,35.49,32.83
Day 3 (21 June 2026),21 June 2026,8155,SG250088758,1011100111,25.51,15.12
Day 3 (21 June 2026),21 June 2026,6391,SG250088979,1011100112,36.1,33.49
Day 3 (21 June 2026),21 June 2026,7945,SG250089543,1011100113,26.85,17.31
Day 3 (21 June 2026),21 June 2026,4212,SG250093008,1011100114,45.45,56.17
Day 3 (21 June 2026),21 June 2026,6800,SG250093526,1011100115,33.78,29.23
Day 3 (21 June 2026),21 June 2026,6911,SG250094451,1011100116,33.16,28.07
Day 3 (21 June 2026),21 June 2026,2295,SG250096479,1011100119,54.08,76.12
Day 3 (21 June 2026),21 June 2026,3818,SG250096709,1011100120,47.11,60.27
Day 3 (21 June 2026),21 June 2026,2281,SG250098692,1011100123,54.09,76.27
Day 3 (21 June 2026),21 June 2026,4759,SG250100176,1011100124,43.1,50.47
Day 3 (21 June 2026),21 June 2026,8828,SG250101288,1011100126,18.19,8.12
Day 3 (21 June 2026),21 June 2026,6009,SG250101791,1011100127,37.78,37.46
Day 3 (21 June 2026),21 June 2026,2456,SG250103458,1011100129,53.39,74.45
Day 3 (21 June 2026),21 June 2026,3465,SG250106878,1011100130,48.75,63.94
Day 3 (21 June 2026),21 June 2026,1404,SG250106907,1011100131,58.75,85.4
Day 3 (21 June 2026),21 June 2026,7225,SG250107749,1011100133,31.48,24.8
Day 3 (21 June 2026),21 June 2026,7658,SG250110743,1011100135,28.81,20.3
Day 3 (21 June 2026),21 June 2026,2271,SG250112367,1011100136,54.1,76.37
Day 3 (21 June 2026),21 June 2026,5695,SG250113305,1011100138,39.11,40.73
Day 3 (21 June 2026),21 June 2026,6987,SG250114374,1011100139,32.8,27.28
Day 3 (21 June 2026),21 June 2026,5878,SG250115344,1011100141,38.43,38.83
Day 3 (21 June 2026),21 June 2026,7027,SG250115360,1011100142,32.48,26.87
Day 3 (21 June 2026),21 June 2026,1524,SG250115630,1011100143,58.08,84.15
Day 3 (21 June 2026),21 June 2026,4080,SG250118130,1011100146,46.08,57.54
Day 3 (21 June 2026),21 June 2026,9026,SG250118396,1011100147,15.45,6.06
Day 3 (21 June 2026),21 June 2026,8083,SG250118797,1011100148,26.13,15.87
Day 3 (21 June 2026),21 June 2026,1022,SG250121791,1011100154,61.39,89.37
Day 3 (21 June 2026),21 June 2026,1085,SG250122877,1011100156,61.04,88.72
Day 3 (21 June 2026),21 June 2026,955,SG250123885,1011100159,61.76,90.07
Day 3 (21 June 2026),21 June 2026,517,SG250124256,1011100161,66.06,94.63
Day 3 (21 June 2026),21 June 2026,2894,SG250126462,1011100163,51.11,69.89
Day 3 (21 June 2026),21 June 2026,2810,SG250128311,1011100168,51.44,70.76
Day 3 (21 June 2026),21 June 2026,6105,SG250128982,1011100170,37.46,36.46
Day 3 (21 June 2026),21 June 2026,7780,SG250129819,1011100172,28.15,19.03
Day 3 (21 June 2026),21 June 2026,1611,SG250131757,1011100177,57.74,83.24
Day 3 (21 June 2026),21 June 2026,2157,SG250132120,1011100178,54.75,77.56
Day 3 (21 June 2026),21 June 2026,6489,SG250132779,1011100180,35.46,32.47
Day 3 (21 June 2026),21 June 2026,5643,SG250132968,1011100181,39.4,41.27
Day 3 (21 June 2026),21 June 2026,1179,SG250133052,1011100182,60.1,87.74
Day 3 (21 June 2026),21 June 2026,1246,SG250139105,1011100186,59.75,87.04
Day 3 (21 June 2026),21 June 2026,4653,SG250139644,1011100187,43.47,51.58
Day 3 (21 June 2026),21 June 2026,4794,SG250140845,1011100189,42.81,50.11
Day 3 (21 June 2026),21 June 2026,6869,SG250141436,1011100190,33.48,28.51
Day 3 (21 June 2026),21 June 2026,5218,SG250141597,1011100191,41.37,45.7
Day 3 (21 June 2026),21 June 2026,833,SG250142593,1011100192,62.74,91.34
Day 3 (21 June 2026),21 June 2026,7989,SG250144236,1011100193,26.83,16.85
Day 3 (21 June 2026),21 June 2026,8513,SG250144568,1011100194,22.17,11.4
Day 3 (21 June 2026),21 June 2026,4924,SG250145110,1011100196,42.45,48.76
Day 3 (21 June 2026),21 June 2026,6490,SG250145729,1011100197,35.46,32.46
Day 3 (21 June 2026),21 June 2026,6161,SG250000746,1011108869,37.12,35.88
Day 3 (21 June 2026),21 June 2026,401,SG250001858,1011108872,67.69,95.84
Day 3 (21 June 2026),21 June 2026,5624,SG250002863,1011108873,39.43,41.47
Day 3 (21 June 2026),21 June 2026,5235,SG250004126,1011108874,41.12,45.52
Day 3 (21 June 2026),21 June 2026,9316,SG250004511,1011108875,8.89,3.04
Day 3 (21 June 2026),21 June 2026,4760,SG250006595,1011108876,43.1,50.46
Day 3 (21 June 2026),21 June 2026,1937,SG250006663,1011108877,55.76,79.85
Day 3 (21 June 2026),21 June 2026,1206,SG250006718,1011108878,60.07,87.46
Day 3 (21 June 2026),21 June 2026,8823,SG250007314,1011108880,18.2,8.17
Day 3 (21 June 2026),21 June 2026,5897,SG250008932,1011108881,38.41,38.63
