Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 4 (22 June 2026),22 June 2026,16239,SG250000421,1010100005,30.43,55.32
Day 4 (22 June 2026),22 June 2026,12146,SG250000426,1010100006,35.77,66.58
Day 4 (22 June 2026),22 June 2026,7736,SG250000523,1010100007,42.41,78.71
Day 4 (22 June 2026),22 June 2026,8113,SG250000669,1010100008,41.76,77.68
Day 4 (22 June 2026),22 June 2026,15268,SG250000813,1010100009,31.73,57.99
Day 4 (22 June 2026),22 June 2026,8742,SG250000827,1010100010,40.76,75.95
Day 4 (22 June 2026),22 June 2026,21039,SG250000971,1010100011,24.15,42.11
Day 4 (22 June 2026),22 June 2026,3417,SG250001158,1010100012,51.07,90.6
Day 4 (22 June 2026),22 June 2026,10893,SG250001445,1010100014,37.45,70.03
Day 4 (22 June 2026),22 June 2026,19360,SG250001481,1010100015,26.42,46.73
Day 4 (22 June 2026),22 June 2026,14549,SG250001647,1010100017,32.45,59.97
Day 4 (22 June 2026),22 June 2026,23151,SG250001742,1010100018,21.48,36.29
Day 4 (22 June 2026),22 June 2026,28719,SG250001849,1010100019,13.83,20.97
Day 4 (22 June 2026),22 June 2026,8891,SG250001898,1010100020,40.48,75.54
Day 4 (22 June 2026),22 June 2026,33974,SG250001957,1010100022,4.57,6.51
Day 4 (22 June 2026),22 June 2026,23670,SG250002198,1010100024,20.82,34.87
Day 4 (22 June 2026),22 June 2026,11816,SG250002347,1010100025,36.37,67.49
Day 4 (22 June 2026),22 June 2026,17598,SG250003010,1010100026,28.74,51.58
Day 4 (22 June 2026),22 June 2026,6927,SG250003409,1010100027,43.75,80.94
Day 4 (22 June 2026),22 June 2026,16122,SG250003440,1010100028,30.46,55.64
Day 4 (22 June 2026),22 June 2026,11215,SG250003730,1010100029,37.09,69.14
Day 4 (22 June 2026),22 June 2026,5264,SG250003838,1010100030,47.04,85.52
Day 4 (22 June 2026),22 June 2026,24512,SG250004467,1010100032,19.81,32.55
Day 4 (22 June 2026),22 June 2026,35334,SG250004577,1010100033,0.81,2.77
Day 4 (22 June 2026),22 June 2026,32219,SG250004684,1010100034,8.17,11.34
Day 4 (22 June 2026),22 June 2026,19679,SG250004861,1010100035,26.06,45.85
Day 4 (22 June 2026),22 June 2026,15281,SG250004872,1010100036,31.5,57.95
