Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 4 (22 June 2026),22 June 2026,5228,SG250000421,1010100005,30.43,49.44
Day 4 (22 June 2026),22 June 2026,3972,SG250000426,1010100006,35.77,61.59
Day 4 (22 June 2026),22 June 2026,2497,SG250000523,1010100007,42.41,75.86
Day 4 (22 June 2026),22 June 2026,2631,SG250000669,1010100008,41.76,74.56
Day 4 (22 June 2026),22 June 2026,4949,SG250000813,1010100009,31.73,52.14
Day 4 (22 June 2026),22 June 2026,2869,SG250000827,1010100010,40.76,72.26
Day 4 (22 June 2026),22 June 2026,6581,SG250000971,1010100011,24.15,36.36
Day 4 (22 June 2026),22 June 2026,1048,SG250001158,1010100012,51.07,89.87
Day 4 (22 June 2026),22 June 2026,3569,SG250001445,1010100014,37.45,65.49
Day 4 (22 June 2026),22 June 2026,6111,SG250001481,1010100015,26.42,40.9
Day 4 (22 June 2026),22 June 2026,4737,SG250001647,1010100017,32.45,54.19
Day 4 (22 June 2026),22 June 2026,7142,SG250001742,1010100018,21.48,30.93
Day 4 (22 June 2026),22 June 2026,8532,SG250001849,1010100019,13.83,17.49
Day 4 (22 June 2026),22 June 2026,2921,SG250001898,1010100020,40.48,71.76
Day 4 (22 June 2026),22 June 2026,9809,SG250001957,1010100022,4.57,5.14
Day 4 (22 June 2026),22 June 2026,7270,SG250002198,1010100024,20.82,29.69
Day 4 (22 June 2026),22 June 2026,3869,SG250002347,1010100025,36.37,62.59
Day 4 (22 June 2026),22 June 2026,5633,SG250003010,1010100026,28.74,45.53
Day 4 (22 June 2026),22 June 2026,2208,SG250003409,1010100027,43.75,78.65
Day 4 (22 June 2026),22 June 2026,5196,SG250003440,1010100028,30.46,49.75
Day 4 (22 June 2026),22 June 2026,3684,SG250003730,1010100029,37.09,64.38
Day 4 (22 June 2026),22 June 2026,1659,SG250003838,1010100030,47.04,83.96
Day 4 (22 June 2026),22 June 2026,7493,SG250004467,1010100032,19.81,27.54
Day 4 (22 June 2026),22 June 2026,10135,SG250004577,1010100033,0.81,1.98
Day 4 (22 June 2026),22 June 2026,9393,SG250004684,1010100034,8.17,9.16
Day 4 (22 June 2026),22 June 2026,6184,SG250004861,1010100035,26.06,40.2
Day 4 (22 June 2026),22 June 2026,4954,SG250004872,1010100036,31.5,52.09
Day 4 (22 June 2026),22 June 2026,1813,SG250004937,1010100037,46.07,82.47
Day 4 (22 June 2026),22 June 2026,8096,SG250004943,1010100038,16.48,21.7
Day 4 (22 June 2026),22 June 2026,5581,SG250005130,1010100040,28.8,46.03
Day 4 (22 June 2026),22 June 2026,10117,SG250005906,1010100042,1.16,2.16
Day 4 (22 June 2026),22 June 2026,3493,SG250006138,1010100043,37.78,66.22
Day 4 (22 June 2026),22 June 2026,5407,SG250006434,1010100045,29.48,47.71
Day 4 (22 June 2026),22 June 2026,8334,SG250006553,1010100046,15.08,19.4
Day 4 (22 June 2026),22 June 2026,3254,SG250006693,1010100047,39.03,68.54
Day 4 (22 June 2026),22 June 2026,4633,SG250006957,1010100048,33.07,55.2
Day 4 (22 June 2026),22 June 2026,8559,SG250007359,1010100050,13.78,17.23
Day 4 (22 June 2026),22 June 2026,9156,SG250007611,1010100051,9.79,11.45
Day 4 (22 June 2026),22 June 2026,9076,SG250008472,1010100054,10.17,12.23
Day 4 (22 June 2026),22 June 2026,2368,SG250008731,1010100055,43.07,77.11
Day 4 (22 June 2026),22 June 2026,7923,SG250008790,1010100057,17.51,23.38
Day 4 (22 June 2026),22 June 2026,7118,SG250008810,1010100058,21.76,31.16
Day 4 (22 June 2026),22 June 2026,9164,SG250008827,1010100059,9.75,11.37
Day 4 (22 June 2026),22 June 2026,5372,SG250009025,1010100060,29.77,48.05
Day 4 (22 June 2026),22 June 2026,4474,SG250009162,1010100062,33.46,56.74
Day 4 (22 June 2026),22 June 2026,9728,SG250009373,1010100063,5.41,5.92
Day 4 (22 June 2026),22 June 2026,4573,SG250009430,1010100064,33.12,55.78
Day 4 (22 June 2026),22 June 2026,1567,SG250009616,1010100065,47.41,84.85
Day 4 (22 June 2026),22 June 2026,10131,SG250009906,1010100068,0.88,2.02
Day 4 (22 June 2026),22 June 2026,8982,SG250009985,1010100070,10.86,13.13
Day 4 (22 June 2026),22 June 2026,5485,SG250009991,1010100071,29.38,46.96
Day 4 (22 June 2026),22 June 2026,9070,SG250010053,1010100072,10.19,12.28
Day 4 (22 June 2026),22 June 2026,3719,SG250010213,1010100073,37.06,64.04
Day 4 (22 June 2026),22 June 2026,1625,SG250010282,1010100074,47.08,84.29
Day 4 (22 June 2026),22 June 2026,554,SG250010367,1010100075,55.4,94.65
Day 4 (22 June 2026),22 June 2026,7969,SG250010388,1010100076,17.4,22.93
Day 4 (22 June 2026),22 June 2026,873,SG250010727,1010100079,52.42,91.57
Day 4 (22 June 2026),22 June 2026,6155,SG250011304,1010100081,26.11,40.48
Day 4 (22 June 2026),22 June 2026,4502,SG250011475,1010100082,33.44,56.47
Day 4 (22 June 2026),22 June 2026,844,SG250011807,1010100084,52.74,91.85
Day 4 (22 June 2026),22 June 2026,5650,SG250011835,1010100085,28.5,45.36
Day 4 (22 June 2026),22 June 2026,9886,SG250011851,1010100086,3.85,4.39
Day 4 (22 June 2026),22 June 2026,1309,SG250011923,1010100087,49.09,87.35
Day 4 (22 June 2026),22 June 2026,2353,SG250011925,1010100088,43.08,77.25
Day 4 (22 June 2026),22 June 2026,10118,SG250012100,1010100089,1.15,2.15
Day 4 (22 June 2026),22 June 2026,575,SG250012480,1010100090,55.07,94.45
Day 4 (22 June 2026),22 June 2026,3595,SG250012511,1010100091,37.43,65.24
Day 4 (22 June 2026),22 June 2026,9006,SG250012725,1010100092,10.81,12.9
Day 4 (22 June 2026),22 June 2026,8366,SG250012922,1010100094,14.82,19.09
Day 4 (22 June 2026),22 June 2026,4785,SG250013103,1010100095,32.41,53.73
Day 4 (22 June 2026),22 June 2026,9944,SG250013181,1010100096,3.22,3.83
Day 4 (22 June 2026),22 June 2026,4625,SG250013189,1010100097,33.08,55.28
Day 4 (22 June 2026),22 June 2026,10259,SG250013406,1010100099,-2.18,0.78
Day 4 (22 June 2026),22 June 2026,2992,SG250013467,1010100100,40.11,71.07
Day 4 (22 June 2026),22 June 2026,1759,SG250013664,1010100102,46.4,83.0
Day 4 (22 June 2026),22 June 2026,8794,SG250013748,1010100104,12.14,14.95
Day 4 (22 June 2026),22 June 2026,5421,SG250014389,1010100110,29.46,47.58
Day 4 (22 June 2026),22 June 2026,6890,SG250014446,1010100111,22.77,33.37
Day 4 (22 June 2026),22 June 2026,9347,SG250014452,1010100112,8.51,9.6
Day 4 (22 June 2026),22 June 2026,6755,SG250014549,1010100113,23.45,34.67
Day 4 (22 June 2026),22 June 2026,1962,SG250014604,1010100114,45.09,81.03
Day 4 (22 June 2026),22 June 2026,2727,SG250014771,1010100116,41.42,73.63
Day 4 (22 June 2026),22 June 2026,9099,SG250014809,1010100117,10.12,12.0
